fid,tweet_text,timestamp,source,symbols,company_names,url,source_ip,protocol,dest_ip,Label,results
43893538,"Trump tells CBS he's ""always wanted"" to be interviewed by Special Counsel Mueller but deflected questions on whetheâ¦ https://t.co/at43BIGpDh",Thu Jul 19 00:04:22 +0000 2018,business,CBS,CBS,https://twitter.com/i/web/status/1019734658127400961,149.171.126.5,tcp,59.166.0.0,1,1
43893970,Templeton and BlackRock say now's the time to buy emerging markets https://t.co/h4z90nxqwH https://t.co/6FkVrZlu3j,Thu Jul 19 00:16:34 +0000 2018,business,BLK,BlackRock,https://bloom.bg/2NmXZLe,149.171.126.1,tcp,59.166.0.5,1,1
43895163,Charts say #RealMoneySOD $GOOGL could rise 17% or more from here: @BruceKamich  https://t.co/cZbRY4daHN,Thu Jul 19 00:23:00 +0000 2018,jimcramer,GOOGL,Alphabet,http://bit.ly/2Nof8UW,149.171.126.3,tcp,59.166.0.6,1,1
43895164,EBay revenue misses as weak U.S. sporting season hits StubHub https://t.co/3RdnkMVUn8 https://t.co/N6iXpxEZjG,Thu Jul 19 00:30:43 +0000 2018,Reuters,EBAY,eBay,https://reut.rs/2NrITEt,149.171.126.8,tcp,59.166.0.0,1,1
43903154,New York City will force Airbnb to disclose information on its hosts https://t.co/jdq88zBMGR https://t.co/9SPvNk6cVU,Thu Jul 19 00:32:31 +0000 2018,business,JD,JD,https://bloom.bg/2uxotmx,149.171.126.5,tcp,59.166.0.5,1,1
43903338,"RT @josheidelson: Exclusive: Elon Musk called Sierra Club's executive director Saturday and ""asked for some help via Twitter"" the green grâ¦",Thu Jul 19 00:37:46 +0000 2018,TheStalwart,TWTR,Twitter,,149.171.126.5,udp,59.166.0.0,1,1
43952454,New time: Janet Yellen and I in conversation at Brookings on Feb. 27 at 2 PM EST. Join us online or on Facebook Livâ¦ https://t.co/hDg7X5Rc5P,Fri Feb 23 18:50:19 +0000 2018,benbernanke,FB,Facebook,https://twitter.com/i/web/status/967109381098758144,149.171.126.2,tcp,59.166.0.1,1,1
43952455,The robot homie R2-D2 told me to buy sell and hold Fidelity National Information Services $FIS #BullMarket,Sun Jul 08 22:13:24 +0000 2018,StockTipRobot,FIS,Fidelity National Information Services,,149.171.126.3,tcp,59.166.0.0,1,1
43952961,Arthur J Gallagher &amp; Co $AJG vs. Marsh &amp; McLennan Companies $MMC Critical Contrast https://t.co/aETTR2nZEq,Sun Jul 08 22:23:07 +0000 2018,ConsumerFeed,AJG,Arthur J. Gallagher & Co.,http://zpr.io/6Tnx3,149.171.126.5,udp,59.166.0.0,1,1
43952962,Arthur J Gallagher &amp; Co $AJG vs. Marsh &amp; McLennan Companies $MMC Critical Contrast https://t.co/CDjCvAKg5D,Sun Jul 08 22:26:52 +0000 2018,MareaInformativ,AJG,Arthur J. Gallagher & Co.,http://www.mareainformativa.com/?p=407083,149.171.126.2,tcp,59.166.0.1,1,1
43965803,$INFO $C Asia Stocks Signal Gains; Dollar Weakness Watched: Markets Wrap via https://t.co/jURZDymPXI,Sun Jul 08 22:34:01 +0000 2018,finzine,INFO,IHS Markit Ltd.,http://www.hvper.com/?ref=ftw,149.171.126.5,tcp,59.166.0.3,1,1
43966127,RT @dailypoliticaln: Fluor Co. $NEW $FLR Stock Rating Upgraded by Zacks Investment Research https://t.co/bpNgSoZjMH,Sun Jul 08 22:43:40 +0000 2018,Riskographer2,FLR,Fluor Corporation,http://www.dailypolitical.com/?p=2188895,149.171.126.7,tcp,59.166.0.8,1,1
43966128,Avery Dennison Corporation $AVY EPS Estimated At $1.56 - https://t.co/YgOBsCXV2k,Sun Jul 08 22:46:22 +0000 2018,whatsonthorold2,AVY,Avery Dennison Corporation,https://www.whatsonthorold.com/2018/07/08/avery-dennison-corporation-avy-eps-estimated-at-1-56/,149.171.126.5,tcp,59.166.0.9,1,1
43983198,What's shaking guys? Inflation &amp; bank earnings are some of your market shakers this week: https://t.co/zUj03RrzaFâ¦ https://t.co/cEWyQtbwVs,Sun Jul 08 22:47:03 +0000 2018,oliviabvoz,ETR,Entergy Corporation,https://youtu.be/JkO2zJAN-5Y,149.171.126.2,tcp,59.166.0.1,1,1
43983199,EPS for Avery Dennison Corporation $AVY Expected At $1.56 https://t.co/JgH1US4tJT,Sun Jul 08 22:47:11 +0000 2018,reurope_stock,AVY,Avery Dennison Corporation,https://reurope.com/2018/07/08/eps-for-avery-dennison-corporation-avy-expected-at-1-56/,149.171.126.2,tcp,59.166.0.1,1,1
43983421,Avery Dennison Corporation $AVY EPS Estimated At $1.56 - https://t.co/TGdsFYlo7V,Sun Jul 08 22:47:26 +0000 2018,bibeypost_stock,AVY,Avery Dennison Corporation,https://www.bibeypost.com/avery-dennison-corporation-avy-eps-estimated-at-1-56/,149.171.126.5,tcp,59.166.0.2,1,1
43983734,RT @oliviabvoz: What's shaking guys? Inflation &amp; bank earnings are some of your market shakers this week: https://t.co/zUj03RrzaF $PEP $FSTâ¦,Sun Jul 08 22:59:50 +0000 2018,LaurieInMadison,ETR,Entergy Corporation,https://youtu.be/JkO2zJAN-5Y,149.171.126.4,udp,59.166.0.8,1,1
43983735,Do you know that #Book Value for $XYL is $13.92 https://t.co/P8NnY8vkF6,Sun Jul 08 23:06:03 +0000 2018,1MinuteStock,XYL,Xylem Inc.,https://unicornbay.com/t/XYL.US?utm_medium=tweet&utm_campaign=bookvalue&utm_source=twitter,149.171.126.9,tcp,59.166.0.8,1,1
43984021,Do you know that #WallStreet price for $IRM is $38.83 https://t.co/K8TFsUFESC,Sun Jul 08 23:15:02 +0000 2018,1MinuteStock,IRM,Iron Mountain Incorporated,https://unicornbay.com/t/IRM.US?utm_medium=tweet&utm_campaign=wallstreet&utm_source=twitter,149.171.126.4,tcp,59.166.0.0,1,1
43984203,Wondering about risks of $IRM? The 21-day volatility is 4.12% https://t.co/6KpJaP4fac,Sun Jul 08 23:27:02 +0000 2018,1MinuteStock,IRM,Iron Mountain Incorporated,https://unicornbay.com/t/IRM.US?utm_medium=tweet&utm_campaign=volatility&utm_source=twitter,149.171.126.8,tcp,59.166.0.8,1,1
43984409,$ORLY Max Pain=280.00. Maturity=07/20/2018. #maxpain #options https://t.co/E1QxoAmxz0 https://t.co/SIIeXlCE1t,Sun Jul 08 23:27:08 +0000 2018,optioncharts,ORLY,O'Reilly Automotive,http://maximum-pain.com/options/max-pain/ORLY,149.171.126.9,tcp,59.166.0.8,1,1
43984720,$AVB Max Pain=170.00. Maturity=07/20/2018. #maxpain #options https://t.co/YSw8y4pvl1 https://t.co/55GYLNJKC1,Sun Jul 08 23:38:12 +0000 2018,optioncharts,AVB,AvalonBay Communities,http://maximum-pain.com/options/max-pain/AVB,149.171.126.3,tcp,59.166.0.2,1,1
43984721,$CUBE $EXR $HOG $KO $LSI $PSA $IRM https://t.co/n2jGUHZqx1,Sun Jul 08 23:39:03 +0000 2018,Jake_Hunter,IRM,Iron Mountain Incorporated,https://seekingalpha.com/article/4185504-blue-chip-yielding-6_7-percent-opportunistic-buy-30-percent-minimum-upside?source=tweet,149.171.126.7,tcp,59.166.0.5,1,1
43984943,MTTS WEEKLY WATCHLIST FOR JULY 9TH 2018 $CXO $HPÂ $RSPP https://t.co/poc5zDyb4j,Sun Jul 08 23:46:49 +0000 2018,MttsTrading,HP,Helmerich & Payne,https://mttstrading.com/mtts-weekly-watchlist-for-july-9th-2018-cxo-hp-rspp/,149.171.126.6,tcp,59.166.0.8,1,1
43985026,Analysts Expect Mosaic Co $MOS Will Announce Earnings of $0.38 Per Share https://t.co/wUz5n5cRYO,Sun Jul 08 23:51:29 +0000 2018,TranscriptDaily,MOS,The Mosaic Company,http://zpr.io/6T6mK,149.171.126.11,sctp,175.45.176.1,1,1
44024773,$2.29 Billion in Sales Expected for Mosaic Co $MOS This Quarter https://t.co/TvQE3lexlH,Sun Jul 08 23:54:10 +0000 2018,WeekHerald,MOS,The Mosaic Company,http://weekherald.com/?p=2977936,149.171.126.11,sctp,175.45.176.1,1,1
44025383,In 2 days I doubled my account with the option trades from  https://t.co/fuqGGnsGDs #winners #nojoke  $XRX $MRTXâ¦ https://t.co/zGFIrUGsVq,Sun Jul 08 23:58:17 +0000 2018,HarryPickens2,HSY,The Hershey Company,http://Optionsbypros.com,149.171.126.11,sctp,175.45.176.1,1,1
44025384,$NI high OI range is 26.00 to 26.00 for option expiration 07/20/2018 #maxpain #options https://t.co/SofR3EIASh https://t.co/1BiDccf6kl,Mon Jul 09 00:15:27 +0000 2018,optioncharts,NI,NiSource Inc.,http://maximum-pain.com/options/open-interest/NI,149.171.126.11,sctp,175.45.176.1,1,1
44074212,RT @TradeSatoshi: $AMG AMGCHAIN  will be delisted from Tradesatoshi the 31/07/18 devs reset the blockchain and did not inform us causing loâ¦,Mon Jul 09 00:17:21 +0000 2018,BogdanoffJr,AMG,Affiliated Managers Group,,149.171.126.11,sctp,175.45.176.1,1,1
44074684,Payments halted under Obamacare program https://t.co/yuveHjiqti $UNH $AET $ANTM $CI $HUM $WCG $CNC $MOHâ¦ https://t.co/brxhRXNKGM,Mon Jul 09 00:17:35 +0000 2018,Gary49148971,HCA,HCA Healthcare,https://seekingalpha.com/news/3368467?source=ansh,149.171.126.11,sctp,175.45.176.1,1,1
44074739,RT @forever_t_2000: Theres goes $SODE breaking things again.  At least they're getting paid to fix it.  $ACM $AEGN $AGX $BFLBF $BLD $DY $EMâ¦,Mon Jul 09 00:21:28 +0000 2018,stockpicklist,JEC,Jacobs Engineering Group Inc.,,149.171.126.11,sctp,175.45.176.1,1,1
44089173,$JEC Max Pain=65.00. Maturity=07/20/2018. #maxpain #options https://t.co/UsAbQ5qAuk https://t.co/xO6Ew72bWA,Mon Jul 09 00:31:10 +0000 2018,optioncharts,JEC,Jacobs Engineering Group Inc.,http://maximum-pain.com/options/max-pain/JEC,149.171.126.11,sctp,175.45.176.1,1,1
44089415,RT @forever_t_2000: Theres goes $SODE breaking things again.  At least they're getting paid to fix it.  $ACM $AEGN $AGX $BFLBF $BLD $DY $EMâ¦,Mon Jul 09 00:35:35 +0000 2018,the_stockwiz,JEC,Jacobs Engineering Group Inc.,,149.171.126.11,sctp,175.45.176.1,1,1
44089416,Short sale volume (not short interest) for $IJR on 2018-07-06 is 78%. https://t.co/sJqeEvuEQm $SENS 80% $DVN 67% $XLY 54% $ODP 46%,Mon Jul 09 00:36:02 +0000 2018,shortvolumes,ODP,Office Depot,http://shortvolumes.com/?t=IJR,149.171.126.11,sctp,175.45.176.1,1,1
44089417,$COO high OI range is 220.00 to 250.00 for option expiration 07/20/2018 #maxpain #options https://t.co/MWW1X55Xnb https://t.co/9fTdfqcclB,Mon Jul 09 00:36:14 +0000 2018,optioncharts,COO,The Cooper Companies,http://maximum-pain.com/options/open-interest/COO,149.171.126.11,sctp,175.45.176.1,1,1
44089418,RT @forever_t_2000: Theres goes $SODE breaking things again.  At least they're getting paid to fix it.  $ACM $AEGN $AGX $BFLBF $BLD $DY $EMâ¦,Mon Jul 09 00:39:22 +0000 2018,TerryMonette1,JEC,Jacobs Engineering Group Inc.,,149.171.126.11,sctp,175.45.176.1,1,1
44089477,$SNPS had hired more while rival $CDNS had reduced headcount https://t.co/ErNHkTPuHR,Mon Jul 09 00:50:54 +0000 2018,naashonomics,SNPS,Synopsys,,149.171.126.11,sctp,175.45.176.1,1,1
44089478,$INFO $PEP Five Things You Need to Know to Start Your Day via https://t.co/jURZDymPXI,Mon Jul 09 00:54:01 +0000 2018,finzine,INFO,IHS Markit Ltd.,http://www.hvper.com/?ref=ftw,149.171.126.9,tcp,59.166.0.6,1,1
44089479,new #jobs #opening growth $SNPS v/s $CDNS https://t.co/lNW3lLs96a,Mon Jul 09 00:55:37 +0000 2018,naashonomics,SNPS,Synopsys,,149.171.126.6,udp,59.166.0.6,1,1
44089480,RT @WallStJesus: Repeat buying in biotech $ARRY https://t.co/gfThduDYw6,Mon Jul 09 01:00:58 +0000 2018,BeefEnt,ARRY,Array BioPharma Inc.,,149.171.126.8,tcp,59.166.0.8,1,1
44089482,$REG Max Pain is 60.00 for maturity 07/20/2018. #maxpain #options https://t.co/5wnNLwjMl5 https://t.co/coNB8dr1lx,Mon Jul 09 01:02:17 +0000 2018,optioncharts,REG,Regency Centers Corporation,http://maximum-pain.com/options/max-pain/REG,149.171.126.4,tcp,59.166.0.8,1,1
44089483,RT @oliviabvoz: What's shaking guys? Inflation &amp; bank earnings are some of your market shakers this week: https://t.co/zUj03RrzaF $PEP $FSTâ¦,Mon Jul 09 01:06:56 +0000 2018,doggydaddy70,ETR,Entergy Corporation,https://youtu.be/JkO2zJAN-5Y,149.171.126.0,tcp,59.166.0.9,1,1
44089484,RT @OptionsHawk: $AJG CEO bought $600K in stock may be one to follow always been a preferred play of mine in this group sitting right onâ¦,Mon Jul 09 01:09:15 +0000 2018,StayThirsty_Jay,AJG,Arthur J. Gallagher & Co.,,149.171.126.3,udp,59.166.0.3,1,1
44089485,RT @tradewithjoe: JULY 19 and 20 calls active today - $ARRY https://t.co/6P8ZLv6CVv,Mon Jul 09 01:25:20 +0000 2018,Jr41322029,ARRY,Array BioPharma Inc.,,149.171.126.5,udp,59.166.0.5,1,1
44089486,Robert Half International Inc. $RHI Analysts See $0.85 EPS - https://t.co/YmS25tsO8A,Mon Jul 09 01:30:46 +0000 2018,whatsonthorold2,RHI,Robert Half International Inc.,https://www.whatsonthorold.com/2018/07/09/robert-half-international-inc-rhi-analysts-see-0-85-eps-2/,149.171.126.4,tcp,59.166.0.8,1,1
44089488,$0.85 EPS Expected for Robert Half International Inc. $RHI https://t.co/uHEQbYjnX1,Mon Jul 09 01:31:50 +0000 2018,reurope_stock,RHI,Robert Half International Inc.,https://reurope.com/2018/07/09/0-85-eps-expected-for-robert-half-international-inc-rhi/,149.171.126.4,tcp,59.166.0.1,1,1
44089489,EPS for Robert Half International Inc. $RHI Expected At $0.85 - https://t.co/9zx0sjUaNr,Mon Jul 09 01:32:11 +0000 2018,bibeypost_stock,RHI,Robert Half International Inc.,https://www.bibeypost.com/eps-for-robert-half-international-inc-rhi-expected-at-0-85/,149.171.126.5,tcp,59.166.0.1,1,1
44089490,RT @MttsTrading: MTTS WEEKLY WATCHLIST FOR JULY 9TH 2018 $CXO $HPÂ $RSPP https://t.co/poc5zDyb4j,Mon Jul 09 01:38:58 +0000 2018,HooverStreet51,HP,Helmerich & Payne,https://mttstrading.com/mtts-weekly-watchlist-for-july-9th-2018-cxo-hp-rspp/,149.171.126.3,udp,59.166.0.5,1,1
44089491,RT @WallStJesus: Repeat buying in biotech $ARRY https://t.co/gfThduDYw6,Mon Jul 09 01:44:09 +0000 2018,YuZhu4,ARRY,Array BioPharma Inc.,,149.171.126.4,tcp,59.166.0.8,1,1
44089493,INSIDE WK SCAN $AKAM $AMAT $AXP $BA $BLUE $BOX $BZUN $C $CAT $CMCSA $CSCO $DBX $DIS $DE $DOCU $DLTR $EBAY $FDXâ¦ https://t.co/c1lAquqUfU,Mon Jul 09 01:46:42 +0000 2018,dgarciacharts,DLTR,Dollar Tree,https://twitter.com/i/web/status/1016136529746382849,10.40.182.3,arp,10.40.182.3,1,1
44089494,$JD $ARRY $PYPL $UIS 5min -- Daily setups for Monday. https://t.co/QrlBGCSruN,Mon Jul 09 01:49:31 +0000 2018,zusch_,ARRY,Array BioPharma Inc.,,10.40.170.2,arp,10.40.170.2,1,1
44089495,RT @dgarciacharts: INSIDE WK SCAN $AKAM $AMAT $AXP $BA $BLUE $BOX $BZUN $C $CAT $CMCSA $CSCO $DBX $DIS $DE $DOCU $DLTR $EBAY $FDX $FEYE $FSâ¦,Mon Jul 09 01:50:43 +0000 2018,Abkon187,DLTR,Dollar Tree,,149.171.126.2,udp,59.166.0.1,1,1
44089496,RT @WallStJesus: Repeat buying in biotech $ARRY https://t.co/gfThduDYw6,Mon Jul 09 01:54:04 +0000 2018,stocksnovice,ARRY,Array BioPharma Inc.,,149.171.126.9,udp,59.166.0.5,1,1
44089572,Short sale vol (not short interest) for $CYH on 2018-07-06 is 72%. https://t.co/Ev0VoqfMLV $THC 65% $SEM 48% $SSY 32% $HCA 62%,Mon Jul 09 02:18:01 +0000 2018,shortvolumes,HCA,HCA Healthcare,http://shortvolumes.com/?t=CYH,149.171.126.6,tcp,59.166.0.6,1,1
44089573,RT @forever_t_2000: Theres goes $SODE breaking things again.  At least they're getting paid to fix it.  $ACM $AEGN $AGX $BFLBF $BLD $DY $EMâ¦,Mon Jul 09 02:21:48 +0000 2018,vantillian,JEC,Jacobs Engineering Group Inc.,,149.171.126.0,udp,59.166.0.8,1,1
44089574,Finisar Co. $FNSR Expected to Announce Quarterly Sales of $315.26 Million https://t.co/Ns3mDf4jVa,Mon Jul 09 02:28:20 +0000 2018,OlympiaReport,FNSR,Finisar Corporation,http://theolympiareport.com/?p=912207,149.171.126.7,udp,59.166.0.1,1,1
44089575,Finisar Co. $FNSR Expected to Post Quarterly Sales of $315.26 Million https://t.co/RfBRipR0zq,Mon Jul 09 02:28:45 +0000 2018,WeekHerald,FNSR,Finisar Corporation,http://weekherald.com/?p=2978035,149.171.126.6,udp,59.166.0.6,1,1
44089577,Possible plays:  $SGMO $TXMD $ABUS $VKTX $ECYT $VSTM $SGYP $TRVN $NVAX $OPK $OCUL $GERN $VRX $TSRO $AKAO  Letâs see what I pick.  Follow! ð,Mon Jul 09 02:38:56 +0000 2018,AceAnalyst,NVAX,Novavax,,149.171.126.0,tcp,59.166.0.6,1,1
44089578,RT @tradewithjoe: $SPY OPTIONS FLOW ALERTS -  https://t.co/NZc3w6bzNI  $EEM $ARRY $CARS $JD $BLL $V $CAZR $BX $VIPS $OPK $BAC $WFC $XOP $JWâ¦,Mon Jul 09 02:39:23 +0000 2018,ThomasPace10,ARRY,Array BioPharma Inc.,http://www.tradewithjoe.com/options-flow-alerts-for-friday-7-6-18/,149.171.126.4,tcp,59.166.0.8,1,1
44089579,RT @dgarciacharts: INSIDE WK SCAN $AKAM $AMAT $AXP $BA $BLUE $BOX $BZUN $C $CAT $CMCSA $CSCO $DBX $DIS $DE $DOCU $DLTR $EBAY $FDX $FEYE $FSâ¦,Mon Jul 09 02:43:41 +0000 2018,AllidoiswinDC,DLTR,Dollar Tree,,149.171.126.9,udp,59.166.0.9,1,1
44089580,Buying in options land on Friday 7/6!  $QSR $IGT $SKX $VOYA $FCX $NVO $PXD $VIPS $VVV $SGMS $PII $ETFC $BLL $GPROâ¦ https://t.co/zcyw6K1VTv,Mon Jul 09 02:44:19 +0000 2018,smartmoneyact,ARRY,Array BioPharma Inc.,https://twitter.com/i/web/status/1016151031510716416,149.171.126.8,tcp,59.166.0.6,1,1
44089581,Short sale volume(not short interest) for $WU on 2018-07-06 is 38%. https://t.co/MN0BezRLba $FIS 45% $MA 58% $MGI 26% $WEX 53%,Mon Jul 09 02:54:02 +0000 2018,shortvolumes,FIS,Fidelity National Information Services,http://shortvolumes.com/?t=WU,149.171.126.3,tcp,59.166.0.1,1,1
44089672,Weekly Recap: $HSY price moved 4.28% since post - next stop 98.50. Other trades included AA SPY BABA MDSO AYI FB SHâ¦ https://t.co/uGd8Esohx8,Mon Jul 09 02:54:31 +0000 2018,aboutheoptions,HSY,The Hershey Company,https://twitter.com/i/web/status/1016153595522281472,149.171.126.9,udp,59.166.0.0,1,1
44089673,$ANSS high OI range is 150.00 to 170.00 for option expiration 07/20/2018 #maxpain #options https://t.co/l4WbKAgcvU https://t.co/9ijKHXTPYu,Mon Jul 09 03:07:16 +0000 2018,optioncharts,ANSS,ANSYS,http://maximum-pain.com/options/open-interest/ANSS,149.171.126.8,udp,59.166.0.3,1,1
44089674,RT @oliviabvoz: What's shaking guys? Inflation &amp; bank earnings are some of your market shakers this week: https://t.co/zUj03RrzaF $PEP $FSTâ¦,Mon Jul 09 03:11:40 +0000 2018,TFMkts,ETR,Entergy Corporation,https://youtu.be/JkO2zJAN-5Y,149.171.126.0,tcp,59.166.0.6,1,1
44089675,Mondayâs Watch1 $AMZN $GOOGL $FB $AAPL $AMD $BIDU $BABA $BTC.X $ETH.X $BIIB $CELG $GILD $INTC $JD $ARQL $ARRY $ARWRâ¦ https://t.co/Ku6wqg8ECi,Mon Jul 09 03:28:01 +0000 2018,mchaudhry82,ARRY,Array BioPharma Inc.,https://twitter.com/i/web/status/1016162026408828928,149.171.126.3,tcp,59.166.0.5,1,1
44089677,$PNR broker price target 0.36 https://t.co/DHaGJaArxd https://t.co/OBz0UXv4jb,Mon Jul 09 03:34:31 +0000 2018,______JG,PNR,Pentair plc,https://dpsi7pmz5b6vt.cloudfront.net/uploads/ckeditor/picture/5256/Bell_Potter_Analyst_Stock_Picks_for_FY19.pdf,149.171.126.9,tcp,59.166.0.0,1,1
44089678,RT @mchaudhry82: Mondayâs Watch1 $AMZN $GOOGL $FB $AAPL $AMD $BIDU $BABA $BTC.X $ETH.X $BIIB $CELG $GILD $INTC $JD $ARQL $ARRY $ARWR $ENDPâ¦,Mon Jul 09 04:07:02 +0000 2018,Jenlovescrypto,ARRY,Array BioPharma Inc.,,149.171.126.3,tcp,59.166.0.6,1,1
44089679,Short sale vol (not short interest) for $AMAT on 2018-07-06 is 38%. https://t.co/h8sUZH3HlD $LRCX 39% $SNPS 34% $TER 51% $KLAC 55%,Mon Jul 09 04:18:02 +0000 2018,shortvolumes,SNPS,Synopsys,http://shortvolumes.com/?t=AMAT,149.171.126.6,tcp,59.166.0.6,1,1
44089680,RT @forever_t_2000: Theres goes $SODE breaking things again.  At least they're getting paid to fix it.  $ACM $AEGN $AGX $BFLBF $BLD $DY $EMâ¦,Mon Jul 09 04:22:11 +0000 2018,GregStockett,JEC,Jacobs Engineering Group Inc.,,149.171.126.1,tcp,59.166.0.6,1,1
44089681,$MOS D1 outside day &gt; 50SMA https://t.co/aQ5Tf1kEKy,Mon Jul 09 04:50:19 +0000 2018,pnani456,MOS,The Mosaic Company,,149.171.126.9,udp,59.166.0.0,1,1
